@RELATION medidor_um_janela_dez

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
6.226,56.034,143.198,127.633,84.051,118.294,6.226,161.876,80.938,133.859,0,1,4
56.034,143.198,127.633,84.051,118.294,6.226,161.876,80.938,133.859,56.034,0,1,4
143.198,127.633,84.051,118.294,6.226,161.876,80.938,133.859,56.034,105.842,0,1,4
127.633,84.051,118.294,6.226,161.876,80.938,133.859,56.034,105.842,146.311,0,1,4
84.051,118.294,6.226,161.876,80.938,133.859,56.034,105.842,146.311,127.633,0,1,4
118.294,6.226,161.876,80.938,133.859,56.034,105.842,146.311,127.633,80.938,0,1,4
6.226,161.876,80.938,133.859,56.034,105.842,146.311,127.633,80.938,65.373,0,1,4
161.876,80.938,133.859,56.034,105.842,146.311,127.633,80.938,65.373,12.452,0,1,4
80.938,133.859,56.034,105.842,146.311,127.633,80.938,65.373,12.452,146.311,0,1,4
133.859,56.034,105.842,146.311,127.633,80.938,65.373,12.452,146.311,115.181,0,1,4
56.034,105.842,146.311,127.633,80.938,65.373,12.452,146.311,115.181,74.712,0,1,4
105.842,146.311,127.633,80.938,65.373,12.452,146.311,115.181,74.712,108.955,0,1,4
146.311,127.633,80.938,65.373,12.452,146.311,115.181,74.712,108.955,105.842,0,1,4
127.633,80.938,65.373,12.452,146.311,115.181,74.712,108.955,105.842,136.972,0,1,4
80.938,65.373,12.452,146.311,115.181,74.712,108.955,105.842,136.972,80.938,0,1,4
65.373,12.452,146.311,115.181,74.712,108.955,105.842,136.972,80.938,87.164,0,1,4
12.452,146.311,115.181,74.712,108.955,105.842,136.972,80.938,87.164,68.486,0,1,4
146.311,115.181,74.712,108.955,105.842,136.972,80.938,87.164,68.486,140.085,0,1,4
115.181,74.712,108.955,105.842,136.972,80.938,87.164,68.486,140.085,112.068,0,1,4
74.712,108.955,105.842,136.972,80.938,87.164,68.486,140.085,112.068,118.294,0,1,4
108.955,105.842,136.972,80.938,87.164,68.486,140.085,112.068,118.294,6.226,0,1,4
105.842,136.972,80.938,87.164,68.486,140.085,112.068,118.294,6.226,140.085,0,1,4
136.972,80.938,87.164,68.486,140.085,112.068,118.294,6.226,140.085,121.407,0,1,4
80.938,87.164,68.486,140.085,112.068,118.294,6.226,140.085,121.407,118.294,0,1,4
87.164,68.486,140.085,112.068,118.294,6.226,140.085,121.407,118.294,52.921,0,1,4
68.486,140.085,112.068,118.294,6.226,140.085,121.407,118.294,52.921,133.859,0,1,4
140.085,112.068,118.294,6.226,140.085,121.407,118.294,52.921,133.859,140.085,0,1,4
112.068,118.294,6.226,140.085,121.407,118.294,52.921,133.859,140.085,74.712,0,1,4
118.294,6.226,140.085,121.407,118.294,52.921,133.859,140.085,74.712,12.452,0,1,4
6.226,140.085,121.407,118.294,52.921,133.859,140.085,74.712,12.452,52.921,0,1,4
140.085,121.407,118.294,52.921,133.859,140.085,74.712,12.452,52.921,121.407,0,1,4
121.407,118.294,52.921,133.859,140.085,74.712,12.452,52.921,121.407,127.633,0,1,4
118.294,52.921,133.859,140.085,74.712,12.452,52.921,121.407,127.633,121.407,0,1,4
52.921,133.859,140.085,74.712,12.452,52.921,121.407,127.633,121.407,127.633,0,1,4
133.859,140.085,74.712,12.452,52.921,121.407,127.633,121.407,127.633,118.294,0,1,4
140.085,74.712,12.452,52.921,121.407,127.633,121.407,127.633,118.294,130.746,0,1,4
74.712,12.452,52.921,121.407,127.633,121.407,127.633,118.294,130.746,99.616,0,1,4
12.452,52.921,121.407,127.633,121.407,127.633,118.294,130.746,99.616,96.503,0,1,4
52.921,121.407,127.633,121.407,127.633,118.294,130.746,99.616,96.503,115.181,0,1,4
12.452,127.633,118.294,127.633,121.407,12.452,12.452,12.452,12.452,121.407,0,1,4
127.633,118.294,127.633,121.407,12.452,12.452,12.452,12.452,121.407,130.746,0,1,4
118.294,127.633,121.407,12.452,12.452,12.452,12.452,121.407,130.746,12.452,0,1,4
127.633,121.407,12.452,12.452,12.452,12.452,121.407,130.746,12.452,127.633,0,1,4
121.407,12.452,12.452,12.452,12.452,121.407,130.746,12.452,127.633,121.407,0,1,4
12.452,12.452,12.452,12.452,121.407,130.746,12.452,127.633,121.407,127.633,0,1,4
12.452,12.452,12.452,121.407,130.746,12.452,127.633,121.407,127.633,121.407,0,1,4
12.452,12.452,121.407,130.746,12.452,127.633,121.407,127.633,121.407,127.633,0,1,4
12.452,121.407,130.746,12.452,127.633,121.407,127.633,121.407,127.633,105.842,0,1,4
121.407,130.746,12.452,127.633,121.407,127.633,121.407,127.633,105.842,127.633,0,1,4
130.746,12.452,127.633,121.407,127.633,121.407,127.633,105.842,127.633,102.729,0,1,4
12.452,127.633,121.407,127.633,121.407,127.633,105.842,127.633,102.729,12.452,0,1,4
127.633,121.407,127.633,121.407,127.633,105.842,127.633,102.729,12.452,115.181,0,1,4
121.407,127.633,121.407,127.633,105.842,127.633,102.729,12.452,115.181,127.633,0,1,4
127.633,121.407,127.633,105.842,127.633,102.729,12.452,115.181,127.633,127.633,0,1,4
121.407,127.633,105.842,127.633,102.729,12.452,115.181,127.633,127.633,121.407,0,1,4
127.633,105.842,127.633,102.729,12.452,115.181,127.633,127.633,121.407,140.085,0,1,4
105.842,127.633,102.729,12.452,115.181,127.633,127.633,121.407,140.085,12.452,0,1,4
127.633,102.729,12.452,115.181,127.633,127.633,121.407,140.085,12.452,127.633,0,1,4
102.729,12.452,115.181,127.633,127.633,121.407,140.085,12.452,127.633,121.407,0,1,4
12.452,115.181,127.633,127.633,121.407,140.085,12.452,127.633,121.407,133.859,0,1,4
