@RELATION medidor_tres_janela_quinze

@ATTRIBUTE medida_um		REAL
@ATTRIBUTE medida_dois		REAL
@ATTRIBUTE medida_tres		REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cinco		REAL
@ATTRIBUTE medida_seis		REAL
@ATTRIBUTE medida_sete		REAL
@ATTRIBUTE medida_oito		REAL
@ATTRIBUTE medida_nove		REAL
@ATTRIBUTE medida_dez		REAL
@ATTRIBUTE medida_onze		REAL
@ATTRIBUTE medida_doze		REAL
@ATTRIBUTE medida_treze		REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
48.400,35.200,49.500,47.300,45.100,40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,0,1,4
35.200,49.500,47.300,45.100,40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,0,1,4
49.500,47.300,45.100,40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,0,1,4
47.300,45.100,40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,0,1,4
45.100,40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,0,1,4
40.700,41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,0,1,4
41.800,52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,0,1,4
52.800,44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,0,1,4
44.000,50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,0,1,4
50.600,14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,0,1,4
14.300,25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,0,1,4
25.300,45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,0,1,4
45.100,46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,0,1,4
46.200,46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,0,1,4
46.200,46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,0,1,4
46.200,46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,0,1,4
46.200,46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,0,1,4
46.200,46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,0,1,4
46.200,46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,0,1,4
46.200,46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,0,1,4
46.200,48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,0,1,4
48.400,46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,0,1,4
46.200,37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,0,1,4
37.400,37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,0,1,4
37.400,46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,0,1,4
46.200,45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,0,1,4
45.100,31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,0,1,4
31.900,45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,0,1,4
45.100,46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,0,1,4
46.200,46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,25.300,0,1,4
46.200,46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,25.300,24.200,0,1,4
46.200,45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,0,1,4
45.100,26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,25.300,0,1,4
26.400,24.200,25.300,24.200,25.300,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,25.300,24.200,0,1,4
25.300,25.300,24.200,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,0,1,4
25.300,24.200,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,0,1,4
24.200,25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,0,1,4
25.300,24.200,25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,0,1,4
24.200,25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,0,1,4
25.300,25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,0,1,4
25.300,24.200,25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,0,1,4
