@RELATION medidor_dois_janela_quinze

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE medida_dez	REAL
@ATTRIBUTE medida_onze	REAL
@ATTRIBUTE medida_doze	REAL
@ATTRIBUTE medida_treze	REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
34.243,40.469,77.825,24.904,46.695,24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,0,1,4
40.469,77.825,24.904,46.695,24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,0,1,4
77.825,24.904,46.695,24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,0,1,4
24.904,46.695,24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,0,1,4
46.695,24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,0,1,4
24.904,46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,0,1,4
46.695,3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,0,1,4
3.113,49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,0,1,4
49.808,3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,0,1,4
3.113,52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,0,1,4
52.921,37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,0,1,4
37.356,43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,0,1,4
43.582,56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,0,1,4
56.034,28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,0,1,4
28.017,49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,0,1,4
49.808,28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,0,1,4
28.017,46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,0,1,4
46.695,34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,0,1,4
34.243,37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,0,1,4
37.356,46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,0,1,4
46.695,3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,46.695,0,1,4
3.113,49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,46.695,24.904,0,1,4
49.808,24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,46.695,24.904,49.808,0,1,4
24.904,49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,46.695,24.904,49.808,34.243,0,1,4
49.808,3.113,40.469,3.113,46.695,28.017,49.808,34.243,40.469,34.243,46.695,24.904,49.808,34.243,43.582,0,1,4
